File_num,Region,grdc_no,river,station
99,S_Tohoku,2589551.000000000000000,AGANO GAWA,YAMASHINA
100,Kanto,2589552.000000000000000,AGANO GAWA,OYA
101,N_Tohoku,2589600.000000000000000,IWAKI GAWA,GOSHOGAWARA
102,N_Tohoku,2589610.000000000000000,KOYOSHI GAWA,TODOROKI-BASHI
103,S_Tohoku,2589620.000000000000000,AKA GAWA,HAMANAKA
104,S_Tohoku,2589700.000000000000000,MOGAMI GAWA,TAKAYA
105,S_Tohoku,2589701.000000000000000,MOGAMI GAWA,SAGOSHI
106,S_Tohoku,2589702.000000000000000,MOGAMI GAWA,INASHITA
107,S_Tohoku,2589703.000000000000000,MOGAMI GAWA,NAGASAKI
108,S_Tohoku,2589704.000000000000000,MOGAMI GAWA,NISHIOTSUKA
109,N_Tohoku,2589750.000000000000000,KYUOMONO GAWA,TSUBAKIGAWA
110,N_Tohoku,2589751.000000000000000,KYUOMONO GAWA,JINGUJI
111,N_Tohoku,2589752.000000000000000,KYUOMONO GAWA,OMAGARI-BASHI
112,N_Tohoku,2589753.000000000000000,KYUOMONO GAWA,OMONOGAWA-BASHI
113,N_Tohoku,2589754.000000000000000,TAMA GAWA,NAGANO
114,N_Tohoku,2589800.000000000000000,YONESHIRO GAWA,FUTATSUI
115,N_Tohoku,2589801.000000000000000,YONESHIRO GAWA,TAKANOSU
116,N_Tohoku,2589802.000000000000000,YONESHIRO GAWA,JUNISHO
117,Kyushu,2590100.000000000000000,CHIKUGO GAWA,SENOSHITA
118,Kyushu,2590101.000000000000000,CHIKUGO GAWA,ARASE
119,Kyushu,2590200.000000000000000,ONGA GAWA,HINODE-BASHI
120,Kyushu,2590210.000000000000000,MATSUURA GAWA,MUTABE
121,Kyushu,2590220.000000000000000,KIKUCHI GAWA,TAMANA
122,Kyushu,2590230.000000000000000,SENDAI GAWA,ONOBUCHI
123,Kyushu,2590300.000000000000000,KUMA GAWA,YOKOISHI
124,Kyushu,2590301.000000000000000,KUMA GAWA,HITOYOSHI
125,Kyushu,2590400.000000000000000,OYODO GAWA,KASHIWADA
126,Kyushu,2590401.000000000000000,OYODO GAWA,HIWATASHI
127,Shikoku,2591100.000000000000000,SHIMANTO GAWA,GUDO
128,Shikoku,2591200.000000000000000,NIYODO-GAWA,KAWAGUCHI
129,Shikoku,2591201.000000000000000,NIYODO-GAWA,INO
130,Shikoku,2591210.000000000000000,SHIGENOBU-GAWA,DEAI
131,Shikoku,2591220.000000000000000,HIJI-KAWA,OZU
132,Shikoku,2591230.000000000000000,NAKA GAWA,FURUSHO
133,Shikoku,2591800.000000000000000,YOSHINO GAWA,IWAZU
134,Shikoku,2591801.000000000000000,YOSHINO GAWA,CHUO-BASHI
135,Shikoku,2591802.000000000000000,YOSHINO GAWA,IKEDA
