Date,C/E,Year,Month,Day,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
2002-03-01,1,2002,3,1,0.0008726990796054904,9.331475286486633,2.305177542881,1.3615634095634097,0.000238949861059333,3.49838785479825,4.28024020798866,4.6732042282683395,0.9616610525566129,2.15682799411872,0.7025062035104549,7.25466364198527e-16,1.13257033873266,0.5821443764348421,0.151155503718844,3.8711997789053796,0.289922394681895,0.223180425457442,0.18653263417435698,1.20723621889269,1.3944376969474,0.19720449539368498,4.494921828137729e-21,0.0,1.6080768935646599,2.24777374640321e-06,3.8068132981807103e-28,2.04368662048363,-0.0,1.8979607615854799,0.494828613480089,0.605149618244854,3.16458237644515,1.3465944225710902,2.1215787629253797,0.0102612180617896,0.00113073283029099,2.81510935909325,1.3202704270610501,3.39115939325346,0.453636887838128,0.106673726201305,0.667584780988953,2.85953954038912,102.34332918648899,1.3752708238265499,1.1686398156831002
2002-03-02,1,2002,3,2,0.0,7.72773088353762,2.2125237754246254,0.8855550935550935,0.0,1.2450928290394099,2.26588008502458,3.1203640328557403,0.950741920763832,1.5293378401667,0.694888786678117,5.87922166993726e-16,1.0318533992051,0.20482945727569699,0.0791272223959854,1.5030419508978998,0.24965546039088604,0.2231828189353,0.0850655659153083,1.21327018596464,0.7746963921917729,0.1081543731854,4.494921828135929e-21,0.0,1.8738787976070201,2.24783686843815e-06,1.5945588772869199e-27,2.46133993296302,-0.0,2.67708256757213,0.49863859265244104,0.6297805716936279,1.97512454385651,1.5412304551578702,2.4877813783608396,0.008739235064846241,0.00027411133539836203,2.12238920963709,1.4765003243364299,1.90005174099112,0.45312399477248,0.11365052402132199,0.674194760783354,0.399242191762022,98.28074510905321,1.4542558619327097,0.911978320921278
2002-03-03,1,2002,3,3,0.0,4.6777997710059065,2.206767848591217,0.7984365904365905,0.0,0.44313444285460907,1.06163029529675,2.08351695147017,0.9413528994093691,0.992767957837144,0.6882664739101751,4.76444094631137e-16,0.941590332716165,0.10593639969350699,0.0659220827917252,0.569903698978761,0.0971515117614135,0.223080647037347,0.038340381509637,1.2185156244492499,0.43039167773598996,0.0593159319895672,4.4949218281341596e-21,0.0,2.18092941005553,2.24676257445322e-06,1.6853467095986e-27,2.5795949188994904,-0.0,1.83903420328547,0.5038213105645879,0.630639837742113,1.3255742156997,1.6583534542997802,2.5468818775565296,0.00735845853792118,0.000153834901218663,1.5516377896043603,1.56706866772618,1.13093866151533,0.45275736714265297,0.11574675230062101,0.6658939882278709,0.0,75.3960826427769,1.41641652595433,0.7136347415657289
2002-03-04,1,2002,3,4,0.0,4.660158688551304,2.307511777894547,0.7912515592515593,0.0,0.157713649829277,0.327787683347793,1.39112623466784,0.9316524701565279,0.518778785631803,0.682549327346154,3.85506069325746e-16,0.85735081724624,0.0661725267957366,0.0561217580325005,0.216088592741933,0.0953304921823013,0.222790952833235,0.0171570371976775,1.2224517970189899,0.23910915030060298,0.0325310912967102,4.4949218281324e-21,0.0,2.18844259776889,2.24441818158236e-06,2.94937025567935e-28,2.47925457969819,-0.0,1.42410818322052,0.508545416395313,0.617401616556952,0.971100222467473,1.70332408294936,2.4036631477415096,0.0061248930336041795,0.000101881724186422,1.17726854575318,1.59771448574422,0.745353178234229,0.452549970245511,0.113164539602392,0.659358848570307,0.0,61.04923561639621,1.3305113371598503,0.56000567448411
2002-03-05,1,2002,3,5,10.184437879261207,7.343324337215946,0.6996522062408816,0.8146029106029107,2.83929220897605,4.5017088167948405,4.18316577055633,4.30486483384145,0.9474548726227321,1.80653306025978,0.677995593668497,3.19296440896833e-16,1.2899016463952,1.15899807098624,1.6169152336066597,3.8240331634088998,0.14888019420968804,1.3150327921145202,0.19323882241498103,1.2252928923192,1.29145484210097,1.10178476738452,4.494921828130579e-21,0.0,2.13140682225871,7.31590700716355,1.25439399234361,2.66074577228813,-0.0,1.39364136807873,0.51471483217337,3.9172305115549904,3.26092290557699,1.82627544716052,2.60215675652379,0.00544048963120411,8.52121113073829,1.33124586990542,1.69368948089595,1.7637406074380702,0.4528205050777899,0.120786868623355,0.67557417646201,4.73629288418804,71.4512289605746,1.5762992766634598,1.10277298400084
2002-03-06,1,2002,3,6,41.24897596138111,8.621267562143668,1.8727305471376567,15.100241164241163,22.360574420205698,23.381362159379897,18.7649401243675,16.537275934594298,0.962217145761172,7.20250368000273,0.6756891337346078,-2.1888830418962698e-15,4.55161120933777,7.07556075551295,19.700074585014697,17.663131625342697,0.6075138153659,20.4881468584323,6.223769048142481,1.2280876610789,9.551593459319099,8.27439475168553,4.49492182812876e-21,0.0,2.36840745553192,35.464039591927204,6.399488040514539,4.42568372988074,-0.0,2.41198229771946,0.533139470930291,16.945426330580098,12.210866730839902,2.4611434625702002,4.51248347464924,0.00715346584738595,34.5123181619755,3.7730411953726204,2.20890200718436,16.6333127438055,0.45341833781381397,3.57462284367441,0.8164976343264949,20.9753217926671,91.32519171489679,3.08383508078862,4.98732000445663
2002-03-07,1,2002,3,7,0.8010287686053187,4.7305326998968935,2.0489530820364776,2.398902286902287,0.41385392412609,8.79450695836784,11.274521139664099,11.308381210232401,0.95860869378948,5.988809037205441,0.677289536620778,4.16707538136246e-15,4.1106460402393195,2.4655774393140297,10.4186463347464,10.301790428379698,0.35715387896091205,0.549204382486319,4.9084355214988,1.23197129225347,5.47073530817302,0.547983597072173,4.4949218281269396e-21,0.0,2.94443896431503,3.06880052829594e-06,1.60070802649148e-19,5.96806328934891,-0.0,4.829920383826829,0.563775250489334,1.5818286893828701,7.47036225360778,3.1279810948583995,6.0465993992585005,0.008844700261080309,0.670224188679285,6.45348260794713,2.74487822119008,8.90275787539611,0.455401394059558,4.9912839913241696,0.880922053261815,9.830462608729801,72.9295000585541,3.7768213851144505,3.9709091969116606
2002-03-08,1,2002,3,8,0.01976185129900924,3.4069662778624537,1.7626338157082584,1.5025696465696468,0.00967239353923425,4.03927041846839,6.51990062861123,7.559040315547239,0.9732802027620501,4.878343804886219,0.684474077159964,3.4018201157919604e-15,3.7254858117949103,0.806246846503633,4.76209063351982,5.613270148263741,0.237954514016308,0.23404169702552,3.84284042098735,1.23688584887268,3.04318883880471,0.300534844982534,4.494921828125179e-21,0.0,3.7401951323195295,2.27693351227333e-06,5.60472916249803e-18,6.7736825263555005,-0.0,6.14936480686368,0.602859325554131,1.3465525567198997,4.6957742351150396,3.63727255588845,6.74285395645728,0.009796686085065471,0.0166191888504738,4.7031600752083795,3.14971270634286,4.7215721903368895,0.459129750573337,4.54720866706358,0.9070209672770992,4.24180327926466,52.3775505923696,3.93439316657293,3.1471210767140096
2002-03-09,1,2002,3,9,0.0,5.4800098511812285,2.502153673351878,1.225945945945946,0.0,1.43759549864891,3.56636479729471,5.04653322062423,0.9653967511126791,3.8183170030326004,0.698962117343144,2.7486882880929e-15,3.36295570686244,0.24653632185384103,0.673873083977141,2.45425014149986,0.166739120464503,0.22866851655245396,2.9686338584696297,1.2427758454759699,1.69067930387348,0.164824628939226,4.49492182812335e-21,0.0,4.50630162848765,2.27608048645197e-06,5.70597548963679e-20,6.87790727976717,-0.0,4.04493996221172,0.64591609990663,1.3172191755154499,3.1846904635149103,3.9424555524242204,6.725439296861559,0.00987342087180759,5.84389929402086e-05,3.31043612725433,3.3891274188133105,2.54644347863668,0.461863614156301,3.40309958515168,0.915960241566263,0.5691362967290411,53.196179199496,3.84041669079717,2.50121278639766
2002-03-10,1,2002,3,10,5.100317674518946,9.103289862639066,2.9760687153826386,1.0939209979209978,2.2976997954236498,2.0156431797598002,3.77614814907475,5.05669499559185,0.964962046911231,3.57500593952402,0.7172083860705408,2.2068210732153604e-15,3.42840235950542,1.0168293094185301,1.4158197894763003,2.32579346044431,0.16846667479065697,1.4954818677443897,2.55542353297372,1.2496794857613998,1.8654053982271799,0.0903960347894309,4.494921828121529e-21,0.0,4.28150509704848,2.681634376388,0.18761621888886898,6.69030732895939,-0.0,3.00882449857368,0.6903922352303501,3.06552511047413,3.6153745464172298,4.12810746891844,6.4735780953483495,0.0104457568325318,4.26731707322973,2.51372997566269,3.53338772744078,1.45329756657501,0.46408346264556105,2.7714815069272,0.9176139388713349,1.1047988243237599,78.3251587254656,3.69061686294442,2.34542707930538
