Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
1996-09-16,12.32,3.14,2.36,0.2,0.0,4.16378233316172,0.0,7.09607231164176,0.527809704981145,0.16184896859196699,9.394966504340779,-7.18825438217096e-13,0.0,7.94089332944765e-06,7.4297786376269e-06,0.111021223313237,0.00217110022854403,1.95274780049792,0.0336002907960256,0.28271649477200606,0.0,0.7559203026478281,0.0,0.0,1.57926269690306,0.263285187988173,0.244487964200216,4.08973540213729,-0.0,1.2524604894746,3.46518567494641e-05,5.34662442684883,0.19770190126644,3.60049081376391,2.37708061951793,2.1279971465572802,2.95091066704288,0.5826330577682349,0.0663435906797561,0.9969759974305029,2.86012758142874e-08,-1.64756706611881e-15,-1.9956078089720801,2.6716974865920697,58.25390247195,2.39206835018109,0.704361434655996
1996-09-17,0.09,2.35,14.41,0.21,0.0,1.19877091195245,0.0,3.62802487889763,0.5149324981768749,0.0715554341928303,9.394994034360051,7.5320566134355e-13,0.0,7.767066338106e-06,7.420293307166409e-06,0.0517938903619872,0.00217561360591022,0.0143678800543232,0.0178384880149401,0.293678747200415,0.0,0.0705043039246689,0.0,0.0,1.50147546860993,2.4034120444189594e-52,0.29038739532963,4.1636064243942,-0.0,1.82580837383975,2.70096960179021e-05,0.0390581345327398,0.157930357137722,3.78798583780905,2.5601224606657795,2.19338138138675,0.0203300931696685,0.644253259064415,0.0718454994673343,1.3544902735933102,2.88160968947147e-08,9.384274735765009e-16,-1.9489259836228898,0.0,51.726080556411105,2.2251051113140603,0.6175943541755091
1996-09-18,5.33,1.2,8.2,0.21,0.0,1.3995391589218,0.0,4.44542539598321,0.505606799362586,0.0316355438111398,9.39504996867857,-8.66909860089325e-14,0.0,7.665150844790081e-06,7.41082738342294e-06,0.0241630114057002,0.00232209724476217,0.844868985830395,0.021284799528546002,0.30600515397325895,0.0,0.257504396588113,0.0,0.0,1.59397512702746,4.582867650933509e-16,0.343658583521347,4.21745634150224,-0.0,1.5789518219579801,2.0696857873411397e-05,2.31310943230348,0.18642520612573898,3.93313208183074,2.73246906313294,2.24146923396146,1.27699432993981,0.6865071237526679,0.0775729687139366,1.1129011474630601,2.71052868960519e-08,9.5872245671874e-16,-1.9068782762881002,0.0,45.2521459449421,1.6310229617024,0.658887296985358
1996-09-19,0.0,4.28,15.01,0.21,0.0,0.450308598276404,0.0,2.24464796555486,0.501006705916188,1.04091267395477,9.395138052861311,4.2048615499452397e-13,0.0,7.4911320390944594e-06,7.40138080555342e-06,0.0112725866857941,0.00250023766788231,0.000103479460145342,0.011432012175433999,0.31956793117153004,0.0,0.039547313851546,0.0,0.0,1.4624915618582701,1.1909745384496899e-51,0.38644868467254995,3.88779243607946,-0.0,1.39621140570572,1.5202028595481602e-05,1.55573813588707e-09,0.157061487653062,3.85265220815475,2.82473953628607,2.13810221637091,0.000294439111536524,0.7185468610599309,0.0827774922082584,1.1618980380636001,2.34014465297996e-08,6.20249076879247e-16,-1.8782367584947401,0.0,39.2156411648521,1.07581388484393,0.5877111628060361
1996-09-20,0.0,7.55,16.97,0.2,0.0,0.152598263119048,0.0,1.13227576661831,0.507042749492996,0.9736634831487109,9.39526042607187,1.72891682466105e-13,0.0,7.3006980883642895e-06,7.3919535253831295e-06,0.5991510825497371,0.00270871114374621,0.00010347418153855,0.00612583699673502,0.334057262827981,0.0,0.0220862493856293,0.0,0.0,1.3040091181209,1.2011423321770398e-51,0.41820846356086105,3.2991958943157296,-0.0,1.0730669771469,1.0603888612674302e-05,1.55572650060775e-09,0.138218591399159,3.5656651346611397,2.8291013473543196,1.91880312492996,0.000208383469578782,0.7243621685523041,0.087119377651223,1.00569456337404,2.03260542716606e-08,-4.63252503587642e-15,-1.86308126115253,0.0,33.887028697277,0.687317090245734,0.534694375363324
1996-09-21,0.0,11.24,19.83,0.2,0.0,0.0517117150240528,0.0,0.570332515939587,0.556286461535235,0.6872002417959051,9.39541824005872,6.57805909324225e-14,0.0,7.086238088285381e-06,7.382545486702831e-06,0.576463500660726,0.0029309686602339603,0.000103468903470248,0.00327257776173853,0.349194123113922,0.0,0.0123346534636002,0.0,0.0,1.1515994607353899,9.178839127689559e-52,0.43840455888564794,2.6281313164581803,-0.0,0.7878571963326021,7.045890601814461e-06,1.55571485011094e-09,0.12306911863217199,3.1477798736470497,2.75816900802786,1.6438523338945499,0.000153032543092648,0.73069528728053,0.0904631473745025,0.924816452030584,1.81286071322865e-08,9.26161459648444e-16,-1.8609387332733403,0.0,29.287818860833603,0.4358050197677779,0.49431973165191295
1996-09-22,0.7,10.64,17.15,0.19,0.0,0.0175238001801022,0.0,0.628523211681153,0.610402399154515,0.5132281701237871,9.395611571441279,2.75333990407432e-14,0.0,6.90461364632458e-06,7.37315663703096e-06,0.464274796885388,0.00315948996375356,0.111046503175243,0.00174366544244486,0.3647833311824729,0.0,0.0068886153294223,0.0,0.0,1.0723905878837,7.191233428178109e-52,0.45125505293382706,2.05338939782144,-0.0,0.6031921476159471,4.62927796266916e-06,0.30378548026553603,0.114442499812623,2.70565308116707,2.64320290803,1.38269885598214,0.16715650996570902,0.7488129340490111,0.0929322918609503,0.8826602314069191,1.66729208597561e-08,1.6345852478714498e-15,-1.8583759979912902,0.0,25.535289925092897,0.277614089420972,0.476776362104474
1996-09-23,0.12,11.19,17.0,0.21,0.0,0.0059383753296388606,0.0,0.37548003285952203,0.5980373748953499,0.304980446509161,9.39584086206833,1.09140516385061e-14,0.0,6.7292136737734705e-06,7.363786919553979e-06,0.29886574320713694,0.00339085767704562,0.0191221891544448,0.0009266071563363631,0.38068904878970705,0.0,0.0038471304689339796,0.0,0.0,0.9467218316616569,5.250110888944799e-52,0.45674889128845403,1.56842522632937,-0.0,0.460262612480165,3.02104631403248e-06,0.0520775121916629,0.100132179557648,2.2700177339648997,2.4962265663998,1.1423599551713601,0.0296516505947719,0.777376003950778,0.0945522990549774,0.8621714590314521,1.09508307917588e-08,1.23098053502985e-15,-1.85483176228852,0.0,22.140176860022397,0.17912600704966397,0.450891513355374
1996-09-24,0.01,11.41,21.43,0.19,0.0,0.00201236610742144,0.0,0.19383707065446698,0.583251516467098,0.168084830080575,9.396105853297179,3.82143042651489e-15,0.0,6.51704358183718e-06,7.354436282217501e-06,0.17721538342211499,0.00362351886480475,0.00168834097543139,0.0004908097223279519,0.39681588148979297,0.0,0.0021485323444355,0.0,0.0,0.8045410325658009,3.0300626646001492e-52,0.45366438306886203,1.16602320253007,-0.0,0.37687057906843296,1.94175947288061e-06,0.00433979410867747,0.0861389358502562,1.8607398666375101,2.3266353213299,0.926007650488428,0.0020914041922080197,0.815206706699209,0.0953478764384055,0.8493734081627141,3.03889381707977e-10,7.571955832686991e-16,-1.85051950601246,0.0,19.206718003219,0.11783290155167,0.4275577810754771
1996-09-25,0.29,9.42,18.37,0.19,0.0,0.0006819402825696429,0.0,0.23883276383550897,0.570169496043576,0.123932921519339,9.39597669070966,1.5161146391604099e-15,0.0,6.33933457729975e-06,7.34510467005701e-06,0.120651073644407,0.0038567678372929703,0.0460650133969673,0.00025927206965142797,0.41309697378998206,0.0,0.0011999050389275199,0.0,0.0,0.69073600021793,1.8938565927514296e-52,0.44783538892926095,0.8682967673284928,-0.0,0.32532878801223,1.27846170844093e-06,0.125853985592599,0.0752346042127737,1.506281915286,2.14991268140922,0.747193301512143,0.0693452474284897,0.844672625342681,0.095459139435292,0.842474522690018,-8.543862197288809e-09,4.2500983501595e-16,-1.84533245842266,0.0,18.4971343045878,0.0794544857098497,0.41365985168753006
