Date,C/E,Year,Month,Day,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47
1994-11-12,1,1994,11,12,3.3695815680836825,3.636363354705168,0.7548144201260586,2.989195524773575,2.27704306495256,0.372576533600763,2.82296351475304,3.4830034443119,4.02693333765613,3.00827737431018,2.18954335449889,0.859101968512927,2.45172607432157,1.07737883976454,2.71523075418789,3.00827737431018,1.63298837990348,2.11886023635311,0.76416494476241,3.32885686753565,2.25363382640522,0.909446002783446,2.12654884504446,0.0,3.7341186798852,2.37778770170711,1.0,3.8501746504213,-0.0,2.93353052262223,3.02136162543322,2.24448748117223,3.1549603320875,3.90216158773619,3.89584167392361,3.24278960861925,2.00723906743495,3.08335220718001,3.24643146739017,0.895983105748273,2.39717014093858,2.71634351834922,3.2277309764312,2.18927320898307,3.11523188160405,1.68663607239946,5.11169567065876,2.93844905687292,2.0332297525775,1.57362711765398,2.1679577612931
1994-11-13,1,1994,11,13,7.860611797380914,-4.157680392622382,0.3682866667989841,2.7055940330314336,5.62473506266229,1.97690284813458,4.40956688914071,4.94038765911136,4.00497124125565,1.8827560273006,2.28390811943851,1.4316209879809,2.693746491803,2.41595216046289,4.79812903289151,1.8827560273006,1.9497096546023,4.77562485414391,1.94791373529171,3.18341118901221,3.3447099924219,2.12875818046058,4.00489331087201,0.0,3.7949226348261,6.73782686010451,1.10716995838259,3.95772360199228,-0.0,2.98868373877984,3.02541106552822,4.59934536894256,3.82818967358932,3.7804101906494,3.77441013505942,3.15306238660523,4.56840742580615,3.10277340712747,3.15703522250714,1.57486671955506,2.31308639055693,2.72249274248103,3.23573162977682,2.16826810703622,3.08572179961841,3.83844907496376,3.40781604299134,2.55980903263616,0.0,2.29775413421784,4.08871677899431
1994-11-14,1,1994,11,14,5.16945971825983,-7.783797406871659,0.2384235418365862,2.52198188598828,3.81454110679908,2.09779001514924,4.60289297951721,5.01554978456853,4.11756938052341,1.17569617091168,2.35201799671154,1.57317301538235,2.81037084769423,2.06586277163417,4.99513624280946,1.17569617091168,1.92155365256932,3.4486622831907,1.97712371330015,3.04442777089107,3.48251264307133,1.67997843299661,3.92793666215635,0.0,3.94638710922013,4.47101242974171,1.0061907263914,4.12307375941775,-0.0,3.17813187482755,3.03530077229229,3.25708346043203,3.93226375234206,3.49666598309949,3.49132006811709,2.92370747013454,3.29276048357663,3.02101225945427,2.92778157740853,1.65586521145962,2.22843928423913,2.7357869996998,3.25255782494491,2.14598412083021,3.04014789951124,4.11714358358373,2.27189588931288,2.14839238524369,0.0,2.37358303701829,6.26082243319333
1994-11-15,1,1994,11,15,1.6147211578084255,-7.186950776094754,0.2463659412072374,2.366499733617475,1.19712561316772,1.28034809765281,3.54495324359129,3.88098457774531,4.20576682127636,0.701675466866554,2.34139611310745,1.23570700761761,2.74728481023368,0.862674273227557,3.49402205565231,0.701675466866554,1.66135208158828,1.38330972326408,1.22876279822089,2.91052785021568,2.71497130919861,0.820054121644285,2.42839224800561,0.0,4.00403574513411,1.29090282527863,1.0,4.1696328465734,-0.0,3.28343871672604,3.04784548035385,1.4325831490512,3.46460614096382,3.10893594217761,3.10434739405033,2.60409968890695,1.33090479538005,2.66289005411711,2.60808847810694,1.24358132408737,2.14301989820477,2.75276432278501,3.22299038188412,2.12248213588961,2.98441814950432,2.80671836825571,1.51461539290525,1.80030479526034,0.0,1.84631684778863,4.02767774157355
1994-11-16,1,1994,11,16,0.476946055504831,-2.8774789548009565,0.30676036165142,2.277762386787427,0.352041950542112,0.751311944545878,2.44534417046356,2.74546329188875,4.12666961095724,0.365530190674214,2.34891429694382,0.875395016331991,2.63059264268839,0.360782688293511,1.72936176273783,0.365530190674214,1.51502503700797,0.717832096696757,0.752309045766389,2.78117763184284,1.92559558935762,0.417106870849011,1.04947087487697,0.0,3.82609548332166,0.237712801015726,1.0,4.0319946831275,-0.0,3.14628756246717,3.057627123886,0.828899411355713,2.91714957967655,2.67571665662908,2.67185160920096,2.24408450286189,0.582189864332502,2.44708640064874,2.24784099611975,0.70505445506976,2.05652175403587,2.76777231967631,3.16511536680111,2.09809094711784,2.92204195259039,1.65943608801899,1.00976134628078,1.54521411392623,0.0,1.308558009499,1.33961572265308
1994-11-17,1,1994,11,17,0.1728217248053927,0.904661699065245,0.2866096280175269,2.38619072988812,0.126793332193985,0.405338087011974,1.61602996954207,1.88737543323402,4.13420077882701,0.148154419388734,2.39092502513842,0.601116497011954,2.50747728059812,0.17875177789152,0.877997447617138,0.148154419388734,1.51841455311581,0.542681436371404,0.460563186837657,2.65295497937494,1.32534941351995,0.249248112080939,0.559771263745997,0.0,3.56664064204604,0.0124131202468744,1.0,3.73246229132331,-0.0,2.92212547729087,3.05985501905484,0.639591205833947,2.41920043209074,2.53319065688017,2.52993376012672,2.17231162621336,0.306101481737075,2.30973802262516,2.17574403683915,0.355358390044217,1.96876765670545,2.7758288818696,3.13394777192056,2.07281694620322,2.9183381641204,0.985694403351716,3.26416293911769,1.81459864624397,2.40945293546978e-06,0.900382421979463,0.278083386170807
1994-11-18,1,1994,11,18,0.7516613075177707,3.4926284503953204,0.3002975107092718,2.690761854022376,0.550190703889563,0.170126221104991,1.25270737360191,1.50835133021969,4.53133499730379,2.84019207273527,2.42870991825573,0.475891596506759,2.41681604915014,0.227542890191139,0.704916654886877,2.84019207273527,1.49209651318638,0.858710790593838,0.281826430972774,2.5259014519192,1.06412731930974,0.250820396847803,0.525683486593353,0.0,3.31915532081212,0.356062263441581,1.0,3.35214432028084,-0.0,2.70651437705415,3.05218771429731,0.900461077387316,2.0925403932298,2.58994060710145,2.58713581255533,2.29025309390558,0.557621780046819,2.21068730622531,2.29329503741145,0.239318727778897,1.88205401726881,2.77443596003098,3.10002711729006,2.0468769936009,2.92684471939199,0.723061195301627,3.72216265119334,2.3280481642274,5.24490235220326,0.721854691546239,0.150101281860651
1994-11-19,1,1994,11,19,17.460034932169386,2.515080289991708,0.275790960363193,5.729824187533299,13.8373420032736,5.47512457228018,6.58559705554052,6.82369822392086,4.83994925703807,8.91702663490192,2.47872233777306,2.89819865168125,3.13910173002873,5.12659118697765,7.83677623334545,8.91702663490192,2.18755161078168,11.8870330618614,4.52715903983414,2.40723356715181,5.27833209526561,6.56624400287005,8.03933531933341,0.0,3.3175184195362,15.4880158770144,1.39707353732609,3.5687360389883,-0.0,2.73728802091594,3.05284765981687,9.67476719030725,4.48076879805651,3.31258487139169,3.31000146777064,2.98233908400323,10.3145259849438,2.44760503715573,2.98511527680024,3.13908256638961,1.80241894902819,2.78163924734019,3.02599721161966,2.02036750365449,3.06072030824334,6.59140536727558,8.94918970797554,5.25118785339999,14.7008583591159,3.69027892782283,5.65653988502255
1994-11-20,1,1994,11,20,3.2337078913589203,1.4692565481858657,0.3880813444034972,4.358614810868407,2.57763101584305,3.31420911244142,5.37058593013967,5.62485296998823,4.75105410194797,7.54096857219024,2.52468763246694,2.38251830440579,3.13635642647136,2.5619731173079,6.20071332816396,7.54096857219024,1.41034586494736,2.58410495450627,3.15949000422913,2.31066371067405,4.37033158141068,1.33999066138797,5.30699348846356,0.0,3.67552391023361,2.65399142340786,1.0,3.89323826909775,-0.0,3.11829923941023,3.06453796048516,2.35468945298155,4.10546091610533,4.07734388283297,4.0746631199423,3.69441463610735,2.81070190263033,3.14666877175436,3.69723839888147,2.25412313420629,1.73899575449325,2.8000005430163,2.89724729009351,1.99341020931722,3.15376209454691,5.10732006980101,7.36791388416473,5.93029362136915,3.55394823436839,3.02064554119408,11.1995790974736
1994-11-21,1,1994,11,21,3.077953963468485,-1.2255506799896465,0.2894527790941363,3.683750665956314,2.46969717821942,2.29848475246013,4.533574869451,4.77450533127643,4.7422088093028,4.93082812180644,2.51876668816328,2.00387570650501,3.12905626840647,1.56893908191286,4.87582169705881,4.93082812180644,1.21050559440547,2.49953316581781,2.20297282236784,2.23179895587675,3.72971694652078,1.22134088851379,3.86150492843276,0.0,4.19513095360837,2.54985900002453,1.0,4.13524975315874,-0.0,3.66017150154935,3.08420548503926,2.30364765939857,3.84435950648071,4.50517088774153,4.50240044473354,4.09083628175497,2.51795693671843,3.84467222934318,4.09392062201406,1.74288702727793,1.68610929925546,2.82636938616875,2.83412139511537,1.96615129893118,3.18700064591101,4.10788984009535,4.91195911903333,5.33494650298782,0.0,2.55009305677997,4.03300916702912
